,Date,Hi/Lo,Precip,Forecast
345,Tue 12/12,26°/16°,1 mm,"Mostly cloudy, a little rain"
346,Wed 12/13,26°/16°,0 mm,Mostly sunny
347,Thu 12/14,27°/17°,0 mm,Mostly sunny
348,Fri 12/15,26°/16°,0 mm,Sunny
349,Sat 12/16,27°/17°,0 mm,Mostly sunny
350,Sun 12/17,26°/16°,0 mm,Mostly sunny
351,Mon 12/18,26°/16°,0 mm,Mostly sunny
352,Tue 12/19,27°/17°,0 mm,Sunshine
353,Wed 12/20,26°/16°,0 mm,Abundant sunshine
354,Thu 12/21,26°/16°,0 mm,Sunshine and some clouds
355,Fri 12/22,26°/16°,0 mm,Partly sunny
356,Sat 12/23,26°/16°,0 mm,Periods of clouds and sun
357,Sun 12/24,27°/16°,0 mm,Partly sunny
358,Mon 12/25,26°/16°,0 mm,Clouds and sunshine
359,Tue 12/26,27°/16°,0 mm,Mostly cloudy
360,Wed 12/27,27°/16°,0 mm,Periods of sun and clouds
361,Thu 12/28,27°/16°,0 mm,Partial sunshine
362,Fri 12/29,27°/16°,0 mm,Mostly sunny
363,Sat 12/30,27°/16°,0 mm,Periods of clouds and sun
364,Sun 12/31,27°/16°,0 mm,Periods of clouds and sun
